mode,test_id,query_id,category,query_type,difficulty,scenario_id,evidence_fact_ids,permission_pair_id,query_style,split,primary_slice,benchmark_slices,required_metadata_fields,target_type,answerable,is_table_structured,expected_response_class,query,expected_document_title,top1_document_title,result_count,empty_result,filter_preflight_pass,filter_preflight_status,skipped_metadata_filter_fields,first_hit_rank,mrr_at_max_k,evidence_group_count,evidence_group_coverage_at_max_k,all_evidence_groups_at_max_k,null_rejection_at_max_k,permission_leak_at_max_k,permission_safe_at_max_k,protected_hit_count_at_max_k,sensitive_term_leak_at_max_k,forbidden_document_citation_at_max_k,permission_allowed_hit_at_max_k,required_document_coverage_at_max_k,all_required_documents_at_max_k,table_structured_hit_at_max_k,page_hit,term_hit_rate_at_max_k,top1_forbidden,top1_mojibake,latency_ms,hit_at_1,term_hit_rate_at_1,evidence_group_coverage_at_1,all_evidence_groups_at_1,null_rejection_at_1,permission_leak_at_1,protected_hit_count_at_1,sensitive_term_leak_at_1,forbidden_document_citation_at_1,permission_safe_at_1,permission_allowed_hit_at_1,required_document_coverage_at_1,all_required_documents_at_1,table_structured_hit_at_1,success_at_1,hit_at_3,term_hit_rate_at_3,evidence_group_coverage_at_3,all_evidence_groups_at_3,null_rejection_at_3,permission_leak_at_3,protected_hit_count_at_3,sensitive_term_leak_at_3,forbidden_document_citation_at_3,permission_safe_at_3,permission_allowed_hit_at_3,required_document_coverage_at_3,all_required_documents_at_3,table_structured_hit_at_3,success_at_3,hit_at_5,term_hit_rate_at_5,evidence_group_coverage_at_5,all_evidence_groups_at_5,null_rejection_at_5,permission_leak_at_5,protected_hit_count_at_5,sensitive_term_leak_at_5,forbidden_document_citation_at_5,permission_safe_at_5,permission_allowed_hit_at_5,required_document_coverage_at_5,all_required_documents_at_5,table_structured_hit_at_5,success_at_5,hit_at_10,term_hit_rate_at_10,evidence_group_coverage_at_10,all_evidence_groups_at_10,null_rejection_at_10,permission_leak_at_10,protected_hit_count_at_10,sensitive_term_leak_at_10,forbidden_document_citation_at_10,permission_safe_at_10,permission_allowed_hit_at_10,required_document_coverage_at_10,all_required_documents_at_10,table_structured_hit_at_10,success_at_10
filter_full,real_explicit_filter_01,real_explicit_filter_01,explicit_filter,explicit_filter,hard,utility_p02,utility_p02,,canonical,dev,explicit_filter,explicit_filter,year | document_type | source | project_name,single,1,0,ANSWER_WITH_CITATIONS,"Trong amenity catalog năm 2026, nguồn Vinhomes Market và nguồn công khai, mục P02 của Happy Home Tràng Cát nêu tiện ích gì?",Vinhomes_Tien_Ich_Toan_Quoc.docx,Vinhomes_Tien_Ich_Toan_Quoc.docx,2,0,1,passed,,1,1.0,1,1.0,1,0,0,0,0,0,0,0,1.0,1,0,,1.0,0,0,4.924,1,1.0,1.0,1,0,0,0,0,0,0,0,1.0,1,0,1,1,1.0,1.0,1,0,0,0,0,0,0,0,1.0,1,0,1,1,1.0,1.0,1,0,0,0,0,0,0,0,1.0,1,0,1,1,1.0,1.0,1,0,0,0,0,0,0,0,1.0,1,0,1
filter_full,real_explicit_filter_02,real_explicit_filter_02,explicit_filter,explicit_filter,hard,utility_p04,utility_p04,,conversational,dev,explicit_filter,explicit_filter,year | document_type | source | project_name,single,1,0,ANSWER_WITH_CITATIONS,"Cho mình hỏi: trong amenity catalog năm 2026, nguồn Vinhomes Market và nguồn công khai, mục P04 của Vinhomes Global Gate Hạ Long nêu tiện ích gì?",Vinhomes_Tien_Ich_Toan_Quoc.docx,Vinhomes_Tien_Ich_Toan_Quoc.docx,2,0,1,passed,,1,1.0,1,1.0,1,0,0,0,0,0,0,0,1.0,1,0,,1.0,0,0,5.058,1,1.0,1.0,1,0,0,0,0,0,0,0,1.0,1,0,1,1,1.0,1.0,1,0,0,0,0,0,0,0,1.0,1,0,1,1,1.0,1.0,1,0,0,0,0,0,0,0,1.0,1,0,1,1,1.0,1.0,1,0,0,0,0,0,0,0,1.0,1,0,1
filter_full,real_explicit_filter_03,real_explicit_filter_03,explicit_filter,explicit_filter,hard,utility_p07,utility_p07,,concise,dev,explicit_filter,explicit_filter,year | document_type | source | project_name,single,1,0,ANSWER_WITH_CITATIONS,"Cần xác minh: Trong amenity catalog năm 2026, nguồn Vinhomes Market và nguồn công khai, mục P07 của Vinhomes Golden City nêu tiện ích gì?",Vinhomes_Tien_Ich_Toan_Quoc.docx,Vinhomes_Tien_Ich_Toan_Quoc.docx,2,0,1,passed,,1,1.0,1,1.0,1,0,0,0,0,0,0,0,1.0,1,0,,1.0,0,0,5.1,1,1.0,1.0,1,0,0,0,0,0,0,0,1.0,1,0,1,1,1.0,1.0,1,0,0,0,0,0,0,0,1.0,1,0,1,1,1.0,1.0,1,0,0,0,0,0,0,0,1.0,1,0,1,1,1.0,1.0,1,0,0,0,0,0,0,0,1.0,1,0,1
filter_full,real_explicit_filter_04,real_explicit_filter_04,explicit_filter,explicit_filter,hard,utility_p09,utility_p09,,no_accents,dev,explicit_filter,explicit_filter,year | document_type | source | project_name,single,1,0,ANSWER_WITH_CITATIONS,"Trong amenity catalog nam 2026, nguon Vinhomes Market va nguon cong khai, muc P09 cua Vinhomes Wonder City neu tien ich gi?",Vinhomes_Tien_Ich_Toan_Quoc.docx,Vinhomes_Tien_Ich_Toan_Quoc.docx,2,0,1,passed,,1,1.0,1,1.0,1,0,0,0,0,0,0,0,1.0,1,0,,1.0,0,0,4.434,1,1.0,1.0,1,0,0,0,0,0,0,0,1.0,1,0,1,1,1.0,1.0,1,0,0,0,0,0,0,0,1.0,1,0,1,1,1.0,1.0,1,0,0,0,0,0,0,0,1.0,1,0,1,1,1.0,1.0,1,0,0,0,0,0,0,0,1.0,1,0,1
filter_full,real_explicit_filter_05,real_explicit_filter_05,explicit_filter,explicit_filter,hard,utility_p11,utility_p11,,abbreviated,dev,explicit_filter,explicit_filter,year | document_type | source | project_name,single,1,0,ANSWER_WITH_CITATIONS,"Trong amenity catalog năm 2026, nguồn VH Market và nguồn công khai, mục P11 của VH Global Gate nêu tiện ích gì?",Vinhomes_Tien_Ich_Toan_Quoc.docx,Vinhomes_Tien_Ich_Toan_Quoc.docx,2,0,1,passed,,1,1.0,1,1.0,1,0,0,0,0,0,0,0,1.0,1,0,,1.0,0,0,4.684,1,1.0,1.0,1,0,0,0,0,0,0,0,1.0,1,0,1,1,1.0,1.0,1,0,0,0,0,0,0,0,1.0,1,0,1,1,1.0,1.0,1,0,0,0,0,0,0,0,1.0,1,0,1,1,1.0,1.0,1,0,0,0,0,0,0,0,1.0,1,0,1
filter_full,real_explicit_filter_06,real_explicit_filter_06,explicit_filter,explicit_filter,hard,utility_p12,utility_p12,,light_typo,dev,explicit_filter,explicit_filter,year | document_type | source | project_name,single,1,0,ANSWER_WITH_CITATIONS,"Trong amenity catalog năm 2026, nguồn Vinhomes Market và nguồn công khai, mục P12 của Vinhomes Star City nêu tien ich gì?",Vinhomes_Tien_Ich_Toan_Quoc.docx,Vinhomes_Tien_Ich_Toan_Quoc.docx,2,0,1,passed,,1,1.0,1,1.0,1,0,0,0,0,0,0,0,1.0,1,0,,1.0,0,0,4.962,1,1.0,1.0,1,0,0,0,0,0,0,0,1.0,1,0,1,1,1.0,1.0,1,0,0,0,0,0,0,0,1.0,1,0,1,1,1.0,1.0,1,0,0,0,0,0,0,0,1.0,1,0,1,1,1.0,1.0,1,0,0,0,0,0,0,0,1.0,1,0,1
filter_full,real_explicit_filter_07,real_explicit_filter_07,explicit_filter,explicit_filter,hard,utility_p13,utility_p13,,canonical,test,explicit_filter,explicit_filter,year | document_type | source | project_name,single,1,0,ANSWER_WITH_CITATIONS,"Trong amenity catalog năm 2026, nguồn Vinhomes Market và nguồn công khai, mục P13 của Vinhomes Royal Island nêu tiện ích gì?",Vinhomes_Tien_Ich_Toan_Quoc.docx,Vinhomes_Tien_Ich_Toan_Quoc.docx,2,0,1,passed,,1,1.0,1,1.0,1,0,0,0,0,0,0,0,1.0,1,0,,1.0,0,0,5.157,1,1.0,1.0,1,0,0,0,0,0,0,0,1.0,1,0,1,1,1.0,1.0,1,0,0,0,0,0,0,0,1.0,1,0,1,1,1.0,1.0,1,0,0,0,0,0,0,0,1.0,1,0,1,1,1.0,1.0,1,0,0,0,0,0,0,0,1.0,1,0,1
filter_full,real_explicit_filter_08,real_explicit_filter_08,explicit_filter,explicit_filter,hard,utility_p14,utility_p14,,conversational,test,explicit_filter,explicit_filter,year | document_type | source | project_name,single,1,0,ANSWER_WITH_CITATIONS,"Cho mình hỏi: trong amenity catalog năm 2026, nguồn Vinhomes Market và nguồn công khai, mục P14 của Vinhomes Ocean Park 3 nêu tiện ích gì?",Vinhomes_Tien_Ich_Toan_Quoc.docx,Vinhomes_Tien_Ich_Toan_Quoc.docx,2,0,1,passed,,1,1.0,1,1.0,1,0,0,0,0,0,0,0,1.0,1,0,,1.0,0,0,5.011,1,1.0,1.0,1,0,0,0,0,0,0,0,1.0,1,0,1,1,1.0,1.0,1,0,0,0,0,0,0,0,1.0,1,0,1,1,1.0,1.0,1,0,0,0,0,0,0,0,1.0,1,0,1,1,1.0,1.0,1,0,0,0,0,0,0,0,1.0,1,0,1
filter_full,real_explicit_filter_09,real_explicit_filter_09,explicit_filter,explicit_filter,hard,utility_p15,utility_p15,,concise,test,explicit_filter,explicit_filter,year | document_type | source | project_name,single,1,0,ANSWER_WITH_CITATIONS,"Cần xác minh: Trong amenity catalog năm 2026, nguồn Vinhomes Market và nguồn công khai, mục P15 của Vinhomes Ocean Park 2 nêu tiện ích gì?",Vinhomes_Tien_Ich_Toan_Quoc.docx,Vinhomes_Tien_Ich_Toan_Quoc.docx,2,0,1,passed,,1,1.0,1,1.0,1,0,0,0,0,0,0,0,1.0,1,0,,1.0,0,0,5.013,1,1.0,1.0,1,0,0,0,0,0,0,0,1.0,1,0,1,1,1.0,1.0,1,0,0,0,0,0,0,0,1.0,1,0,1,1,1.0,1.0,1,0,0,0,0,0,0,0,1.0,1,0,1,1,1.0,1.0,1,0,0,0,0,0,0,0,1.0,1,0,1
filter_full,real_explicit_filter_10,real_explicit_filter_10,explicit_filter,explicit_filter,hard,utility_p16,utility_p16,,no_accents,test,explicit_filter,explicit_filter,year | document_type | source | project_name,single,1,0,ANSWER_WITH_CITATIONS,"Trong amenity catalog nam 2026, nguon Vinhomes Market va nguon cong khai, muc P16 cua Vinhomes Smart City neu tien ich gi?",Vinhomes_Tien_Ich_Toan_Quoc.docx,Vinhomes_Tien_Ich_Toan_Quoc.docx,2,0,1,passed,,1,1.0,1,1.0,1,0,0,0,0,0,0,0,1.0,1,0,,1.0,0,0,4.462,1,1.0,1.0,1,0,0,0,0,0,0,0,1.0,1,0,1,1,1.0,1.0,1,0,0,0,0,0,0,0,1.0,1,0,1,1,1.0,1.0,1,0,0,0,0,0,0,0,1.0,1,0,1,1,1.0,1.0,1,0,0,0,0,0,0,0,1.0,1,0,1
filter_full,real_explicit_filter_11,real_explicit_filter_11,explicit_filter,explicit_filter,hard,utility_p18,utility_p18,,abbreviated,test,explicit_filter,explicit_filter,year | document_type | source | project_name,single,1,0,ANSWER_WITH_CITATIONS,"Trong amenity catalog năm 2026, nguồn VH Market và nguồn công khai, mục P18 của VH Ocean Park nêu tiện ích gì?",Vinhomes_Tien_Ich_Toan_Quoc.docx,Vinhomes_Tien_Ich_Toan_Quoc.docx,2,0,1,passed,,1,1.0,1,1.0,1,0,0,0,0,0,0,0,1.0,1,0,,1.0,0,0,4.622,1,1.0,1.0,1,0,0,0,0,0,0,0,1.0,1,0,1,1,1.0,1.0,1,0,0,0,0,0,0,0,1.0,1,0,1,1,1.0,1.0,1,0,0,0,0,0,0,0,1.0,1,0,1,1,1.0,1.0,1,0,0,0,0,0,0,0,1.0,1,0,1
