field_name,category,level,record_type,required,total_records,non_empty_count,valid_count,coverage,valid_coverage,validity,missing_count,null_count,empty_string_count,empty_list_count,empty_object_count,placeholder_count,unique_count,cardinality_ratio,entropy,importance
document_id,identity,both,document,True,3,3,3,1.0,1.0,1.0,0,0,0,0,0,0,3,1.0,1.584963,critical
document_id,identity,both,chunk,True,4,4,4,1.0,1.0,1.0,0,0,0,0,0,0,3,0.75,1.5,critical
chunk_id,identity,chunk,chunk,True,4,4,4,1.0,1.0,1.0,0,0,0,0,0,0,4,1.0,2.0,critical
owner_id,security,both,document,True,3,3,3,1.0,1.0,1.0,0,0,0,0,0,0,1,0.333333,-0.0,critical
owner_id,security,both,chunk,True,4,4,4,1.0,1.0,1.0,0,0,0,0,0,0,1,0.25,-0.0,critical
notebook_id,security,both,document,True,3,3,3,1.0,1.0,1.0,0,0,0,0,0,0,1,0.333333,-0.0,critical
notebook_id,security,both,chunk,True,4,4,4,1.0,1.0,1.0,0,0,0,0,0,0,1,0.25,-0.0,critical
original_filename,provenance,document,document,True,3,3,3,1.0,1.0,1.0,0,0,0,0,0,0,3,1.0,1.584963,high
source,provenance,chunk,chunk,False,4,4,4,1.0,1.0,1.0,0,0,0,0,0,0,3,0.75,1.5,high
storage_bucket,provenance,document,document,True,3,3,3,1.0,1.0,1.0,0,0,0,0,0,0,1,0.333333,-0.0,high
storage_object_path,provenance,document,document,True,3,3,3,1.0,1.0,1.0,0,0,0,0,0,0,3,1.0,1.584963,critical
mime_type,provenance,document,document,True,3,3,3,1.0,1.0,1.0,0,0,0,0,0,0,3,1.0,1.584963,high
size_bytes,provenance,document,document,True,3,3,3,1.0,1.0,1.0,0,0,0,0,0,0,3,1.0,1.584963,medium
content_hash,derived,document,document,False,3,3,3,1.0,1.0,1.0,0,0,0,0,0,0,3,1.0,1.584963,high
status,operational,document,document,True,3,3,3,1.0,1.0,1.0,0,0,0,0,0,0,2,0.666667,0.918296,critical
error_message,operational,document,document,False,3,1,1,0.333333,0.333333,1.0,0,2,0,0,0,0,1,1.0,-0.0,low
is_active,operational,document,document,True,3,3,3,1.0,1.0,1.0,0,0,0,0,0,0,1,0.333333,-0.0,critical
created_at,temporal,both,document,True,3,3,3,1.0,1.0,1.0,0,0,0,0,0,0,3,1.0,1.584963,medium
created_at,temporal,both,chunk,True,4,4,4,1.0,1.0,1.0,0,0,0,0,0,0,3,0.75,1.5,medium
updated_at,temporal,document,document,True,3,3,3,1.0,1.0,1.0,0,0,0,0,0,0,3,1.0,1.584963,medium
normalized_content_hash,derived,both,document,True,3,2,2,0.666667,0.666667,1.0,0,1,0,0,0,0,2,1.0,1.0,critical
normalized_content_hash,derived,both,chunk,True,4,4,4,1.0,1.0,1.0,0,0,0,0,0,0,3,0.75,1.5,critical
