"field_name","category","level","actual_data_type","expected_data_type","required","source_generator","generation_method","allowed_values","default_value","normalized","used_in_embedding","used_in_filter","used_in_boost","used_in_reranker","used_in_citation","used_in_access_control","usage_locations","importance","risk_if_missing","risk_if_incorrect","notes","path_aliases","regex","min_value","max_value","max_length","max_items","consistency_scope","unique_scope","reference_target","conflict_group","conflict_sensitive","annotation_candidate","ordinal_values","conflict_roles","mutable_over_time"
"document_id","identity","both","uuid/text","uuid","true","database + chunker","authoritative UUID","","","true","false","true","false","true","true","false","documents.id; document_chunks.document_id; retrieval filters","critical","orphan chunks and unusable citation","cross-document leakage","Exporter materializes document_id for document rows","id|metadata.document_id","","","","","","document","","document_id","true","true","false","","group:document_identity|compare:chunk_identity|compare:source_identity","false"
"chunk_id","identity","chunk","uuid/text","uuid","true","database","deterministic ingestion UUID","","","true","false","false","false","true","true","false","document_chunks.id; citations","critical","chunk cannot be referenced","wrong evidence cited","Chunker source id is converted to deterministic DB UUID","id","","","","","","","global","chunk_id","true","false","false","","group:chunk_identity","recomputed_on_reingestion"
"owner_id","security","both","uuid","uuid","true","auth/database","authoritative auth scope","","auth.uid()","true","false","true","false","false","false","true","RLS; all retrieval RPCs; exact identity scope","critical","record inaccessible","cross-user data disclosure","Never infer with LLM","","","","","","","document","","","true","true","false","","compare:document_identity|compare:chunk_identity|compare:source_identity|compare:canonical_identity","false"
"notebook_id","security","both","uuid","uuid","true","database/API","authoritative notebook scope","","","true","false","true","false","false","false","true","RLS; retrieval filters; dedup scope","critical","retrieval scope unavailable","cross-notebook leakage or false dedup","Tenant-equivalent scope in current code","tenant_id","","","","","","document","","","true","true","false","","compare:document_identity|compare:chunk_identity|compare:source_identity|compare:canonical_identity","false"
"original_filename","provenance","document","text","string","true","upload API","source filename","","","false","false","false","false","false","true","false","documents; API response; title fallback","high","weak citation/title fallback","misleading citation","Maximum length enforced by DB","","","","","255","","","","","false","true","true","","","false"
"source","provenance","chunk","json text nullable","string","false","parser/source adapter","source locator or parser source label","","","false","false","false","true","true","true","false","coverage strata; provenance; citation fallback","high","source-based analysis unavailable","chunks grouped under wrong source","Open parser metadata; may be a path or descriptive source rather than a URL","metadata.source|metadata.provenance_metadata.source","","","","2048","","document","","","true","true","true","","group:source_identity|compare:document_identity|compare:chunk_identity","recomputed_on_reingestion"
"storage_bucket","provenance","document","text","string","true","upload API/database","authoritative storage location","documents","documents","true","false","false","false","false","false","true","storage download and cleanup","high","source cannot be loaded","wrong object loaded","Current DB allows only documents","","","","","100","","document","","","false","true","false","","","false"
"storage_object_path","provenance","document","text","string","true","upload API","owner/notebook/document/path","","","true","false","false","false","false","false","true","storage repository","critical","source cannot be loaded","wrong source or access leak","Unique with storage_bucket","","","","","1024","","","global","","false","true","false","","","false"
"mime_type","provenance","document","text","string","true","upload validation","declared and validated MIME","application/pdf|application/vnd.openxmlformats-officedocument.wordprocessingml.document|application/vnd.openxmlformats-officedocument.presentationml.presentation|application/vnd.openxmlformats-officedocument.spreadsheetml.sheet|text/csv|text/markdown|text/html|text/plain","","true","false","false","false","false","true","false","parser routing; API display","high","parser route ambiguous","wrong parser and extraction","Authoritative from upload validation rather than LLM","","","","","200","","","","","false","true","true","","","false"
"size_bytes","provenance","document","bigint","integer","true","upload API","byte count","","","true","false","false","false","false","false","false","upload limits and diagnostics","medium","size audit unavailable","invalid upload accepted/rejected","DB range 1 to 10 MiB","","","1","10485760","","","","","","false","false","false","","","false"
