"mode","test_id","query_id","category","query_type","difficulty","scenario_id","evidence_fact_ids","permission_pair_id","query_style","split","primary_slice","benchmark_slices","required_metadata_fields","target_type","answerable","is_table_structured","expected_response_class","query","expected_document_title","top1_document_title","result_count","empty_result","filter_preflight_pass","filter_preflight_status","skipped_metadata_filter_fields","first_hit_rank","mrr_at_max_k","evidence_group_count","evidence_group_coverage_at_max_k","all_evidence_groups_at_max_k","null_rejection_at_max_k","permission_leak_at_max_k","permission_safe_at_max_k","protected_hit_count_at_max_k","sensitive_term_leak_at_max_k","forbidden_document_citation_at_max_k","permission_allowed_hit_at_max_k","required_document_coverage_at_max_k","all_required_documents_at_max_k","table_structured_hit_at_max_k","page_hit","term_hit_rate_at_max_k","top1_forbidden","top1_mojibake","latency_ms","hit_at_1","term_hit_rate_at_1","evidence_group_coverage_at_1","all_evidence_groups_at_1","null_rejection_at_1","permission_leak_at_1","protected_hit_count_at_1","sensitive_term_leak_at_1","forbidden_document_citation_at_1","permission_safe_at_1","permission_allowed_hit_at_1","required_document_coverage_at_1","all_required_documents_at_1","table_structured_hit_at_1","success_at_1","hit_at_3","term_hit_rate_at_3","evidence_group_coverage_at_3","all_evidence_groups_at_3","null_rejection_at_3","permission_leak_at_3","protected_hit_count_at_3","sensitive_term_leak_at_3","forbidden_document_citation_at_3","permission_safe_at_3","permission_allowed_hit_at_3","required_document_coverage_at_3","all_required_documents_at_3","table_structured_hit_at_3","success_at_3","hit_at_5","term_hit_rate_at_5","evidence_group_coverage_at_5","all_evidence_groups_at_5","null_rejection_at_5","permission_leak_at_5","protected_hit_count_at_5","sensitive_term_leak_at_5","forbidden_document_citation_at_5","permission_safe_at_5","permission_allowed_hit_at_5","required_document_coverage_at_5","all_required_documents_at_5","table_structured_hit_at_5","success_at_5","hit_at_10","term_hit_rate_at_10","evidence_group_coverage_at_10","all_evidence_groups_at_10","null_rejection_at_10","permission_leak_at_10","protected_hit_count_at_10","sensitive_term_leak_at_10","forbidden_document_citation_at_10","permission_safe_at_10","permission_allowed_hit_at_10","required_document_coverage_at_10","all_required_documents_at_10","table_structured_hit_at_10","success_at_10"
"ctx_a_chunk_only","real_content_only_01","real_content_only_01","content_only","content_only","easy","utility_p02","utility_p02","","canonical","dev","content_only","content_only","","single","1","0","ANSWER_WITH_CITATIONS","Ở Hải Phòng, dự án quy mô 109.978 m²; 4.151 căn này có điểm nổi bật nào và thông tin nào còn cần xác minh?","Vinhomes_Tien_Ich_Toan_Quoc.docx","Vinhomes_Tien_Ich_Toan_Quoc.docx","10","0","1","passed","","1","1.0","1","1.0","1","0","0","0","0","0","0","0","1.0","1","0","","1.0","0","0","33.8","1","1.0","1.0","1","0","0","0","0","0","0","0","1.0","1","0","1","1","1.0","1.0","1","0","0","0","0","0","0","0","1.0","1","0","1","1","1.0","1.0","1","0","0","0","0","0","0","0","1.0","1","0","1","1","1.0","1.0","1","0","0","0","0","0","0","0","1.0","1","0","1"
"ctx_a_chunk_only","real_content_only_02","real_content_only_02","content_only","content_only","easy","utility_p04","utility_p04","","conversational","dev","content_only","content_only","","single","1","0","ANSWER_WITH_CITATIONS","Cho mình hỏi: ở Quảng Ninh, dự án quy mô 6.206 ha này có điểm nổi bật nào và thông tin nào còn cần xác minh?","Vinhomes_Tien_Ich_Toan_Quoc.docx","Vinhomes_Tien_Ich_Toan_Quoc.docx","10","0","1","passed","","1","1.0","1","1.0","1","0","0","0","0","0","0","0","1.0","1","0","","1.0","0","0","30.783","1","1.0","1.0","1","0","0","0","0","0","0","0","1.0","1","0","1","1","1.0","1.0","1","0","0","0","0","0","0","0","1.0","1","0","1","1","1.0","1.0","1","0","0","0","0","0","0","0","1.0","1","0","1","1","1.0","1.0","1","0","0","0","0","0","0","0","1.0","1","0","1"
"ctx_a_chunk_only","real_content_only_03","real_content_only_03","content_only","content_only","easy","utility_p07","utility_p07","","concise","dev","content_only","content_only","","single","1","0","ANSWER_WITH_CITATIONS","Cần xác minh: Ở Hải Phòng, dự án quy mô 240,567 ha; 4.937 căn này có điểm nổi bật nào và thông tin nào còn cần xác minh?","Vinhomes_Tien_Ich_Toan_Quoc.docx","Vinhomes_Tien_Ich_Toan_Quoc.docx","10","0","1","passed","","1","1.0","1","1.0","1","0","0","0","0","0","0","0","1.0","1","0","","1.0","0","0","32.715","1","1.0","1.0","1","0","0","0","0","0","0","0","1.0","1","0","1","1","1.0","1.0","1","0","0","0","0","0","0","0","1.0","1","0","1","1","1.0","1.0","1","0","0","0","0","0","0","0","1.0","1","0","1","1","1.0","1.0","1","0","0","0","0","0","0","0","1.0","1","0","1"
"ctx_a_chunk_only","real_content_only_04","real_content_only_04","content_only","content_only","easy","utility_p09","utility_p09","","no_accents","dev","content_only","content_only","","single","1","0","ANSWER_WITH_CITATIONS","O Dan Phuong, Ha Noi, du an quy mo 133,4 ha; 2.250 can nay co diem noi bat nao va thong tin nao con can xac minh?","Vinhomes_Tien_Ich_Toan_Quoc.docx","Vinhomes_Tien_Ich_Toan_Quoc.docx","10","0","1","passed","","6","0.16666666666666666","1","1.0","1","0","0","0","0","0","0","0","1.0","1","0","","1.0","0","0","32.39","0","0.0","0.0","0","0","0","0","0","0","0","0","1.0","1","0","0","0","0.0","0.0","0","0","0","0","0","0","0","0","1.0","1","0","0","0","0.0","0.0","0","0","0","0","0","0","0","0","1.0","1","0","0","1","1.0","1.0","1","0","0","0","0","0","0","0","1.0","1","0","1"
"ctx_a_chunk_only","real_content_only_05","real_content_only_05","content_only","content_only","easy","utility_p11","utility_p11","","abbreviated","dev","content_only","content_only","","single","1","0","ANSWER_WITH_CITATIONS","Ở Đông Anh, Hà Nội, DA quy mô 385 ha; 4.147 căn thấp tầng này có điểm nổi bật nào và thông tin nào còn cần xác minh?","Vinhomes_Tien_Ich_Toan_Quoc.docx","Vinhomes_Tien_Ich_Toan_Quoc.docx","10","0","1","passed","","1","1.0","1","1.0","1","0","0","0","0","0","0","0","1.0","1","0","","1.0","0","0","33.105","1","1.0","1.0","1","0","0","0","0","0","0","0","1.0","1","0","1","1","1.0","1.0","1","0","0","0","0","0","0","0","1.0","1","0","1","1","1.0","1.0","1","0","0","0","0","0","0","0","1.0","1","0","1","1","1.0","1.0","1","0","0","0","0","0","0","0","1.0","1","0","1"
"ctx_a_chunk_only","real_content_only_06","real_content_only_06","content_only","content_only","easy","utility_p12","utility_p12","","light_typo","dev","content_only","content_only","","single","1","0","ANSWER_WITH_CITATIONS","O Thanh Hóa, dự án quy mô 147,5 ha này có điểm nổi bật nào và thông tin nào còn cần xác minh?","Vinhomes_Tien_Ich_Toan_Quoc.docx","Vinhomes_Tien_Ich_Toan_Quoc.docx","10","0","1","passed","","1","1.0","1","1.0","1","0","0","0","0","0","0","0","1.0","1","0","","1.0","0","0","31.248","1","1.0","1.0","1","0","0","0","0","0","0","0","1.0","1","0","1","1","1.0","1.0","1","0","0","0","0","0","0","0","1.0","1","0","1","1","1.0","1.0","1","0","0","0","0","0","0","0","1.0","1","0","1","1","1.0","1.0","1","0","0","0","0","0","0","0","1.0","1","0","1"
"ctx_a_chunk_only","real_content_only_07","real_content_only_07","content_only","content_only","easy","utility_p13","utility_p13","","canonical","test","content_only","content_only","","single","1","0","ANSWER_WITH_CITATIONS","Ở Vũ Yên, Hải Phòng, dự án quy mô 877 ha này có điểm nổi bật nào và thông tin nào còn cần xác minh?","Vinhomes_Tien_Ich_Toan_Quoc.docx","Vinhomes_Tien_Ich_Toan_Quoc.docx","10","0","1","passed","","1","1.0","1","1.0","1","0","0","0","0","0","0","0","1.0","1","0","","1.0","0","0","31.922","1","1.0","1.0","1","0","0","0","0","0","0","0","1.0","1","0","1","1","1.0","1.0","1","0","0","0","0","0","0","0","1.0","1","0","1","1","1.0","1.0","1","0","0","0","0","0","0","0","1.0","1","0","1","1","1.0","1.0","1","0","0","0","0","0","0","0","1.0","1","0","1"
"ctx_a_chunk_only","real_content_only_08","real_content_only_08","content_only","content_only","easy","utility_p14","utility_p14","","conversational","test","content_only","content_only","","single","1","0","ANSWER_WITH_CITATIONS","Cho mình hỏi: ở Hưng Yên, dự án quy mô 294 ha; 8.458 căn thấp tầng này có điểm nổi bật nào và thông tin nào còn cần xác minh?","Vinhomes_Tien_Ich_Toan_Quoc.docx","Vinhomes_Tien_Ich_Toan_Quoc.docx","10","0","1","passed","","1","1.0","1","1.0","1","0","0","0","0","0","0","0","1.0","1","0","","1.0","0","0","32.888","1","1.0","1.0","1","0","0","0","0","0","0","0","1.0","1","0","1","1","1.0","1.0","1","0","0","0","0","0","0","0","1.0","1","0","1","1","1.0","1.0","1","0","0","0","0","0","0","0","1.0","1","0","1","1","1.0","1.0","1","0","0","0","0","0","0","0","1.0","1","0","1"
"ctx_a_chunk_only","real_content_only_09","real_content_only_09","content_only","content_only","easy","utility_p15","utility_p15","","concise","test","content_only","content_only","","single","1","0","ANSWER_WITH_CITATIONS","Cần xác minh: Ở Hưng Yên, dự án quy mô 458 ha này có điểm nổi bật nào và thông tin nào còn cần xác minh?","Vinhomes_Tien_Ich_Toan_Quoc.docx","Vinhomes_Tien_Ich_Toan_Quoc.docx","10","0","1","passed","","1","1.0","1","1.0","1","0","0","0","0","0","0","0","1.0","1","0","","1.0","0","0","30.795","1","1.0","1.0","1","0","0","0","0","0","0","0","1.0","1","0","1","1","1.0","1.0","1","0","0","0","0","0","0","0","1.0","1","0","1","1","1.0","1.0","1","0","0","0","0","0","0","0","1.0","1","0","1","1","1.0","1.0","1","0","0","0","0","0","0","0","1.0","1","0","1"
"ctx_a_chunk_only","real_content_only_10","real_content_only_10","content_only","content_only","easy","utility_p16","utility_p16","","no_accents","test","content_only","content_only","","single","1","0","ANSWER_WITH_CITATIONS","O Nam Tu Liem, Ha Noi, du an quy mo 280 ha nay co diem noi bat nao va thong tin nao con can xac minh?","Vinhomes_Tien_Ich_Toan_Quoc.docx","Vinhomes_Tien_Ich_Toan_Quoc.docx","10","0","1","passed","","1","1.0","1","1.0","1","0","0","0","0","0","0","0","1.0","1","0","","1.0","0","0","30.684","1","1.0","1.0","1","0","0","0","0","0","0","0","1.0","1","0","1","1","1.0","1.0","1","0","0","0","0","0","0","0","1.0","1","0","1","1","1.0","1.0","1","0","0","0","0","0","0","0","1.0","1","0","1","1","1.0","1.0","1","0","0","0","0","0","0","0","1.0","1","0","1"
